id,test,question,answer,category,answer_hindi,answer_marathi
44,43,What is a consolidated grade card?," A consolidated grade card will show consolidated result of a trimester (Regular & cleared backlog together).It shows revised GPA for that trimester. However, note that CGPA is not mentioned.",Consolidated grade card,"एक समेकित ग्रेड कार्ड एक तिमाही का समेकित परिणाम दिखाएगा (नियमित और समाशोधित बैकलॉग एक साथ)। यह उस तिमाही के लिए संशोधित जीपीए दिखाता है। हालांकि, ध्यान दें कि सीजीपीए का उल्लेख नहीं किया गया है।","एकत्रित ग्रेड कार्ड त्रैमासिकाचा एकत्रित परिणाम दर्शवेल (नियमित आणि एकत्रित अनुशेष साफ केला जाईल). ते त्या तिमाहीसाठी सुधारित GPA दर्शवेल. तथापि, लक्षात घ्या की CGPA चा उल्लेख नाही."
45,44,How is a Consolidated Grade Card different from a transcript?,Consolidated grade card shows revised result of only one trimester with revised GPA where as a transcript is a document that includes updated results of all trimesters with revised GPA and CGPA trimester wise.,Consolidated grade card,"समेकित ग्रेड कार्ड संशोधित जीपीए के साथ केवल एक तिमाही का संशोधित परिणाम दिखाता है, जहां एक प्रतिलेख एक दस्तावेज है जिसमें संशोधित जीपीए और सीजीपीए तिमाही के अनुसार सभी तिमाही के अद्यतन परिणाम शामिल हैं।",एकत्रित ग्रेड कार्ड सुधारित GPA सह केवळ एका तिमाहीचे सुधारित परिणाम दर्शविते जेथे प्रतिलिपी एक दस्तऐवज आहे ज्यामध्ये सुधारित GPA आणि CGPA त्रैमासिकानुसार सर्व त्रैमासिकांचे अद्यतनित परिणाम समाविष्ट आहेत.
46,45,How do I apply for a consolidated grade card?,You have to fill and submit application form for issuing of consolidated grade card which is available on the website (https://mitwpu.edu.in/images/documents/Application-for- Issue-of-Consolidated-Grade-Card.pdf )aIong with the necessary documents mentioned in the form and screenshot of payment to exam.helpdesk@mitwpu.edu.in,Consolidated grade card,आपको समेकित ग्रेड कार्ड जारी करने के लिए आवेदन पत्र भरना होगा और जमा करना होगा जो वेबसाइट पर उपलब्ध है (https://mitwpu.edu.in/images/documents/Application-for-issue-of-Consolved-Grade-Card.pdf )aIong फॉर्म में उल्लिखित आवश्यक दस्तावेजों के साथ और exam.helpdesk@mitwpu.edu.in पर भुगतान के स्क्रीनशॉट के साथ,तुम्हाला एकत्रित ग्रेड कार्ड जारी करण्यासाठी अर्ज भरावा लागेल आणि सबमिट करावा लागेल जो वेबसाइटवर उपलब्ध आहे (https://mitwpu.edu.in/images/documents/Application-for- Issue-of-Consolidated-Grade-Card.pdf Exam.helpdesk@mitwpu.edu.in वर फॉर्ममध्ये नमूद केलेल्या आवश्यक कागदपत्रांसह आणि पेमेंटचा स्क्रीनशॉट द्या
47,46,What documents are required while applying for the consolidated grade card?," Application form for consolidated grade card, scan copy of regular and backlog grade cards of trimester for which consolidated grade card is required.",Consolidated grade card,"समेकित ग्रेड कार्ड के लिए आवेदन पत्र, तिमाही के नियमित और बैकलॉग ग्रेड कार्ड की स्कैन कॉपी जिसके लिए समेकित ग्रेड कार्ड की आवश्यकता है।","एकत्रित ग्रेड कार्डसाठी अर्ज, त्रैमासिकाच्या नियमित आणि बॅकलॉग ग्रेड कार्डची स्कॅन कॉपी ज्यासाठी एकत्रित ग्रेड कार्ड आवश्यक आहे."
48,47,What are the charges for obtaining a consolidated grade card?,Processing fee for one consolidated grade card is Rs.200/-,Consolidated grade card,एक समेकित ग्रेड कार्ड के लिए प्रसंस्करण शुल्क 200/- रुपये है।,एका एकत्रित ग्रेड कार्डसाठी प्रक्रिया शुल्क रु. 200/- आहे.
49,48,What is the mode of payment for consolidated grade card?,You  must  pay  online.  Payment  details  are  mentioned  on  website (https://mitwpu.edu.in/examination).   Send   the   screenshot   of   payment   to exam.helpdesk@mitwpu.edu.in.Q When and how will I receive the consolidated grade card?,Consolidated grade card,आपको ऑनलाइन भुगतान करना होगा। भुगतान विवरण वेबसाइट (https://mitwpu.edu.in/examination) पर उल्लिखित हैं। भुगतान का स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in.Q पर भेजें। मुझे समेकित ग्रेड कार्ड कब और कैसे प्राप्त होगा?,तुम्हाला ऑनलाइन पेमेंट करावे लागेल. पेमेंट तपशील वेबसाइटवर नमूद केले आहेत (https://mitwpu.edu.in/examination). पेमेंटचा स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in.Q वर पाठवा मला एकत्रित ग्रेड कार्ड कधी आणि कसे मिळेल?
50,49,I need to submit a Course completion certificate in my Company. What is theprocedure?,You     must     fill     the     student     assistance form.(https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf)  and  mail  to exam.helpdesk@mitwDu.edu.in,Course completion certificate,आपको छात्र सहायता फॉर्म भरना होगा।(https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf) और exam.helpdesk@mitwDu.edu.in पर मेल करें।,तुम्ही विद्यार्थी सहाय्यता फॉर्म भरला पाहिजे.(https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf) आणि exam.helpdesk@mitwDu.edu.in वर मेल करा.
51,50,"In how many days, can I get the Certificate?",The course completion certificate will be issued after minimum 5 working days from date of application.,Course completion certificate,आवेदन की तिथि से न्यूनतम 5 कार्य दिवसों के बाद पाठ्यक्रम पूर्णता प्रमाणपत्र जारी किया जाएगा।,अभ्यासक्रम पूर्ण झाल्याचे प्रमाणपत्र अर्ज केल्याच्या तारखेपासून किमान 5 कामकाजाच्या दिवसांनंतर जारी केले जाईल.
52,51,Will I get a soft copy/hard copy of the Certificate?," The soft copy of the Certificate will be provided, only if required. You must collect the hard copy from Department of Examination within a week after it is ready.Bonafide Certificate",Course completion certificate,आवश्यकता पड़ने पर ही प्रमाण पत्र की सॉफ्ट कॉपी प्रदान की जाएगी। तैयार होने के एक सप्ताह के भीतर आपको परीक्षा विभाग से हार्ड कॉपी प्राप्त करनी होगी। प्रामाणिक प्रमाण पत्र,प्रमाणपत्राची सॉफ्ट कॉपी आवश्यक असल्यासच दिली जाईल. तयार झाल्यानंतर एका आठवड्याच्या आत तुम्ही परीक्षा विभागाकडून हार्ड कॉपी गोळा करणे आवश्यक आहे. बोनाफाईड प्रमाणपत्र
53,52,I require a Bonafide certificate. What is the procedure to obtain it ?,You    should    fill    the    student    assistance    form (https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf)   and   mail   to exam.helpdesk@mitwpu.edu.in,Bonafide certificate,आपको छात्र सहायता फॉर्म (https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf) भरना चाहिए और exam.helpdesk@mitwpu.edu.in पर मेल करना चाहिए।,तुम्ही विद्यार्थी सहाय्यता फॉर्म (https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf) भरा आणि exam.helpdesk@mitwpu.edu.in वर मेल करा.
54,53,"In how many days, can I get the Bonafide Certificate?",Processing of Bonafide certificate requires minimum 5 working days from date of application.,Bonafide certificate,बोनाफाइड प्रमाण पत्र के प्रसंस्करण के लिए आवेदन की तारीख से न्यूनतम 5 कार्य दिवसों की आवश्यकता होती है।,बोनाफाईड प्रमाणपत्रावर प्रक्रिया करण्यासाठी अर्ज केल्याच्या तारखेपासून किमान 5 कामकाजाचे दिवस आवश्यक आहेत.
55,54,Will I get a soft copy/hard copy of the Bonafide Certificate?," The soft copy of Bonafide certificate will be provided, only if required. You must collect the hard copy from Department of Examination within a week after it is ready.Medium of Instruction Certificate",Bonafide certificate,बोनाफाइड सर्टिफिकेट की सॉफ्ट कॉपी जरूरत पड़ने पर ही उपलब्ध कराई जाएगी। आपको इसकी हार्ड कॉपी परीक्षा विभाग से तैयार होने के एक सप्ताह के भीतर प्राप्त करनी होगी। निर्देश प्रमाण पत्र का माध्यम,आवश्यक असल्यासच बोनाफाईड प्रमाणपत्राची सॉफ्ट कॉपी प्रदान केली जाईल. तयार झाल्यानंतर एका आठवड्याच्या आत तुम्ही परीक्षा विभागाकडून हार्ड कॉपी गोळा करणे आवश्यक आहे. शिक्षणाचे माध्यम
56,55,I require a letter stating that medium of instruction for my course was English. What is the procedure?,You can apply for â€˜Medium of Instructionâ€™ Certificate.. Fill student assistance form and mail to exam.helpdesk@mitwpu.edu.in. Student assistance form is available on the website.(https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf),Medium of Instruction Certificate,"आप ""निर्देश का माध्यम"" प्रमाणपत्र के लिए आवेदन कर सकते हैं। छात्र सहायता फॉर्म भरें और exam.helpdesk@mitwpu.edu.in पर मेल करें। छात्र सहायता प्रपत्र वेबसाइट पर उपलब्ध है।(https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf)",तुम्ही 'शिक्षणाचे माध्यम' प्रमाणपत्रासाठी अर्ज करू शकता. विद्यार्थी सहाय्य फॉर्म भरा आणि exam.helpdesk@mitwpu.edu.in वर मेल करा. विद्यार्थी सहाय्य फॉर्म वेबसाइटवर उपलब्ध आहे.(https://mitwpu.edu.in/images/documents/Student-Assistant-Form.pdf)
57,56,"In how many days, can I get the â€˜Medium of Instructionâ€™ Certificate?",Letter of â€˜Medium of Instructionâ€™ will be issued after minimum 5 working days from date of application.,Medium of Instruction,"आवेदन की तारीख से न्यूनतम 5 कार्य दिवसों के बाद ""निर्देश का माध्यम"" पत्र जारी किया जाएगा।","अर्ज केल्याच्या तारखेपासून किमान 5 कामकाजाच्या दिवसांनंतर ""शिक्षणाचे माध्यम"" चे पत्र जारी केले जाईल."
58,57,Will I get a soft copy/hard copy of the Medium of Instruction Certificate?," Soft copy will be provided, if required. You must collect the hard copy from Department of Examination within a week after it is ready.Equivalent Percentage Certificate",Medium of Instruction,यदि आवश्यक हो तो सॉफ्ट कॉपी प्रदान की जाएगी। परीक्षा विभाग के तैयार होने के एक सप्ताह के भीतर आपको हार्ड कॉपी प्राप्त करनी होगी। समकक्ष प्रतिशत प्रमाण पत्र,"आवश्यक असल्यास, सॉफ्ट कॉपी प्रदान केली जाईल. तयार झाल्यानंतर एका आठवड्याच्या आत तुम्ही परीक्षा विभागाकडून हार्ड कॉपी गोळा करणे आवश्यक आहे. समतुल्य टक्केवारी प्रमाणपत्र"
59,58,How do I apply for Equivalent Percentage Certificate?,The  Certificate  for  Equivalent  Percentage  is  available  on  website (https://mitwpu.edu.in/images/documents/EQUIVALENT-PERCENTAGE-CONVERSION- CERTIFICATE.pdf) Fill it correctly and neatly and mail it to exam.helpdesk@mitwpu.edu.in along with scan copy of recent trimester grade card.,Equivalent Percentage Certificate,समतुल्य प्रतिशत का प्रमाणपत्र वेबसाइट पर उपलब्ध है (https://mitwpu.edu.in/images/documents/EQUIVALENT-PERCENTAGE-CONVERSION- CERTIFICATE.pdf) इसे सही ढंग से और साफ-सुथरा भरें और इसे exam.helpdesk@mitwpu.edu पर मेल करें। .in हाल के ट्राइमेस्टर ग्रेड कार्ड की स्कैन कॉपी के साथ।,समतुल्य टक्केवारीचे प्रमाणपत्र वेबसाइटवर उपलब्ध आहे (https://mitwpu.edu.in/images/documents/EQUIVALENT-PERCENTAGE-CONVERSION- CERTIFICATE.pdf) ते योग्य आणि सुबकपणे भरा आणि exam.helpdesk@mitwpu.edu वर मेल करा. .in अलीकडील तिमाही ग्रेड कार्डच्या स्कॅन कॉपीसह.
60,59,"In how many days, can I get the Equivalent Percentage Certificate?",Equivalent Percentage Certificate will be issued after minimum 5 working days from date of application.,Equivalent Percentage Certificate,आवेदन की तिथि से न्यूनतम 5 कार्य दिवसों के बाद समकक्ष प्रतिशत प्रमाण पत्र जारी किया जाएगा।,समतुल्य टक्केवारी प्रमाणपत्र अर्जाच्या तारखेपासून किमान 5 कामकाजाच्या दिवसांनंतर जारी केले जाईल.
61,60,Will I get a soft copy/hard copy of the Equivalent Percentage Certificate?," Soft copy of Equivalent Percentage Certificate will be provided, if required. You must collect the hard copy from Department of Examination within a week after it is ready.Trimester to Semester Conversion CertificateQ.I require trimester to semester marksheet conversion certificate? What is the procedure?",Equivalent Percentage Certificate,यदि आवश्यक हो तो समकक्ष प्रतिशत प्रमाण पत्र की सॉफ्ट कॉपी प्रदान की जाएगी। परीक्षा के तैयार होने के एक सप्ताह के भीतर आपको उसकी हार्ड कॉपी परीक्षा विभाग से प्राप्त करनी होगी। त्रैमासिक से सेमेस्टर रूपांतरण प्रमाणपत्र प्रश्न। मुझे तिमाही से सेमेस्टर मार्कशीट रूपांतरण प्रमाणपत्र की आवश्यकता है? प्रक्रिया क्या है?,"आवश्यक असल्यास, समतुल्य टक्केवारी प्रमाणपत्राची सॉफ्ट कॉपी प्रदान केली जाईल. ते तयार झाल्यानंतर एका आठवड्याच्या आत तुम्ही परीक्षा विभागाकडून हार्ड कॉपी गोळा करणे आवश्यक आहे. त्रैमासिक ते सेमिस्टर रूपांतरण प्रमाणपत्रप्र. मला तिमाही ते सेमिस्टर मार्कशीट रूपांतरण प्रमाणपत्र आवश्यक आहे का? प्रक्रिया काय आहे?"
62,61,What documents are required for applying for a trimester to semester conversion certificate?," Documents required are scan copy of grade cards of the year for which conversion is required,  student  assistance  form  (https://mitwpu.edu.in/imapes/documents/Student- Assistant-Form.pdf and receipt of payment done for conversion certificate.",Trimester to semester conversion certificate,"आवश्यक दस्तावेज उस वर्ष के ग्रेड कार्ड की स्कैन कॉपी हैं जिसके लिए रूपांतरण की आवश्यकता है, छात्र सहायता प्रपत्र (https://mitwpu.edu.in/imapes/documents/Student- Assistant-Form.pdf और रूपांतरण प्रमाण पत्र के लिए किए गए भुगतान की रसीद) .","आवश्यक दस्तऐवज म्हणजे त्या वर्षाच्या ग्रेड कार्डची स्कॅन कॉपी ज्यासाठी रूपांतरण आवश्यक आहे, विद्यार्थी सहाय्य फॉर्म (https://mitwpu.edu.in/imapes/documents/Student- Assistant-Form.pdf आणि रूपांतरण प्रमाणपत्रासाठी केलेल्या पेमेंटची पावती ."
63,62,What are the charges for trimester to semester conversion certificate?,The processing charges for one trimester to semester conversion certificate are Rs.250/-,Trimester to semester conversion certificate,एक तिमाही से सेमेस्टर रूपांतरण प्रमाणपत्र के लिए प्रोसेसिंग शुल्क 250/- रुपये है।,एक त्रैमासिक ते सेमिस्टर रूपांतरण प्रमाणपत्रासाठी प्रक्रिया शुल्क रु. 250/- आहे.
64,63,What is the mode of payment for trimester to semester conversion certificate?,Do  online  payment.  The  payment  details  are  mentioned  on  the website.(https://mitwpu.edu.in/examination/contact).Mail  screenshot  of  payment  to exam.helpdesk@mitwpu.edu.in,Trimester to semester conversion certificate,ऑनलाइन पेमेंट करें। भुगतान विवरण वेबसाइट पर उल्लिखित हैं। (https://mitwpu.edu.in/examination/contact)। भुगतान का स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in पर मेल करें,ऑनलाइन पेमेंट करा. पेमेंट तपशील वेबसाइटवर नमूद केले आहेत.(https://mitwpu.edu.in/examination/contact).पेमेंटचा स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in वर मेल करा.
65,64,In how many days can I get the trimester to semester conversion certificate?,The processing of trimester to semester conversion certificate takes minimum 5 working days from date of application with all required documents.,Trimester to semester conversion certificate,सभी आवश्यक दस्तावेजों के साथ त्रैमासिक से सेमेस्टर रूपांतरण प्रमाण पत्र के प्रसंस्करण में आवेदन की तारीख से न्यूनतम 5 कार्य दिवस लगते हैं।,त्रैमासिक ते सेमिस्टर रूपांतरण प्रमाणपत्र प्रक्रियेस सर्व आवश्यक कागदपत्रांसह अर्ज केल्याच्या तारखेपासून किमान 5 कार्य दिवस लागतात.
66,65,From where do I collect the trimester to semester conversion certificate?,You should collect the trimester to semester conversion certificate from Department of Examination within a week after it is ready.Official Transcript,Trimester to semester conversion certificate,आपको परीक्षा विभाग से तिमाही से सेमेस्टर रूपांतरण प्रमाण पत्र तैयार होने के एक सप्ताह के भीतर प्राप्त करना चाहिए। आधिकारिक प्रतिलेख,तुम्ही परीक्षा विभागाकडून त्रैमासिक ते सेमिस्टर रूपांतरण प्रमाणपत्र तयार झाल्यानंतर एका आठवड्याच्या आत गोळा करावे. अधिकृत उतारा
67,66,What is an official transcript?,An official transcript is an authentic document that includes updated results of all trimesters declared till date of application and it is signed by the Controller of Examinations.,Transcript,एक आधिकारिक प्रतिलेख एक प्रामाणिक दस्तावेज है जिसमें आवेदन की तारीख तक घोषित सभी ट्राइमेस्टर के अद्यतन परिणाम शामिल होते हैं और यह परीक्षा नियंत्रक द्वारा हस्ताक्षरित होता है।,अधिकृत उतारा हा एक अस्सल दस्तऐवज आहे ज्यामध्ये अर्ज केल्याच्या तारखेपर्यंत घोषित केलेल्या सर्व त्रैमासिकांच्या अद्ययावत निकालांचा समावेश असतो आणि त्यावर परीक्षा नियंत्रकाची स्वाक्षरी असते.
68,67,What documents are required for applying for a transcript?," The documents required for applying for a transcript are scan copy of recent trimester grade card, application form for issuing of transcript which is available on the website (https://mitwpu.edu.in/images/documents/Application-for-Issue-of-Official-Transcript.pdf) and receipt of payment done for transcript processing.",Transcript,"प्रतिलेख के लिए आवेदन करने के लिए आवश्यक दस्तावेज हैं हाल के तिमाही ग्रेड कार्ड की स्कैन प्रति, प्रतिलेख जारी करने के लिए आवेदन पत्र जो वेबसाइट पर उपलब्ध है (https://mitwpu.edu.in/images/documents/Application-for-Issue- of-Official-Transcript.pdf) और ट्रांसक्रिप्ट प्रोसेसिंग के लिए किए गए भुगतान की रसीद।","उतार्‍यासाठी अर्ज करण्‍यासाठी आवश्‍यक कागदपत्रे म्हणजे अलीकडील तिमाही ग्रेड कार्डची स्कॅन प्रत, वेबसाइटवर (https://mitwpu.edu.in/images/documents/Application-for-Issue-) उपलब्ध असलेला उतारा जारी करण्यासाठीचा अर्ज. of-Official-Transcript.pdf) आणि ट्रान्सक्रिप्ट प्रक्रियेसाठी केलेल्या पेमेंटची पावती."
69,68,How do I apply for a transcript?,Send screenshot of payment for transcript along with the application form (https://mitwpu.edu.in/images/documents/Application-for-Issue-of-Official-Transcript.pdf) and scan copy of recent trimester grade card to exam.helpdesk@mitwpu.edu.in.,Transcript,आवेदन पत्र के साथ प्रतिलेख के लिए भुगतान का स्क्रीनशॉट भेजें (https://mitwpu.edu.in/images/documents/Application-for-Issue-of-Official-Transcript.pdf) और परीक्षा के लिए हाल के तिमाही ग्रेड कार्ड की स्कैन कॉपी .helpdesk@mitwpu.edu.in।,अर्जासोबत ट्रान्सक्रिप्टसाठी पेमेंटचा स्क्रीनशॉट पाठवा (https://mitwpu.edu.in/images/documents/Application-for-Issue-of-Official-Transcript.pdf) आणि परीक्षेसाठी अलीकडील तिमाही ग्रेड कार्डची स्कॅन कॉपी .helpdesk@mitwpu.edu.in.
70,69,What are the charges for applying for an official transcript?,The processing charges for transcript are Rs.200/- for one copy of transcript. If the transcript is to be sent on postal address then additional postal charges of Rs.100/- for each copy of transcript.,Transcript,प्रतिलेख के लिए प्रसंस्करण शुल्क प्रतिलेख की एक प्रति के लिए 200/- रुपये है। यदि प्रतिलेख डाक पते पर भेजा जाना है तो प्रतिलेख की प्रत्येक प्रति के लिए रु.100/- का अतिरिक्त डाक शुल्क।,प्रतिलिपीसाठी प्रक्रिया शुल्क प्रतिलिपीच्या एका प्रतीसाठी रु. 200/- आहे. जर उतारा पोस्टल पत्त्यावर पाठवायचा असेल तर प्रतिलिपीच्या प्रत्येक प्रतीसाठी रु. 100/- अतिरिक्त पोस्टल शुल्क.
71,70,What is the mode of payment for a transcript?,Do online payment for transcript. The payment details are mentioned on the website.(https://mitwpu.edu.in/examination/contact). Send the screenshot of payment to exam.helpdesk@mitwpu.edu.in,Transcript,प्रतिलेख के लिए ऑनलाइन भुगतान करें। भुगतान विवरण वेबसाइट पर उल्लिखित हैं। (https://mitwpu.edu.in/examination/contact)। भुगतान का स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in पर भेजें,ट्रान्सक्रिप्टसाठी ऑनलाइन पेमेंट करा. पेमेंट तपशील वेबसाइटवर नमूद केले आहेत.(https://mitwpu.edu.in/examination/contact). पेमेंटचा स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in वर पाठवा
72,71,In how many days can I receive the transcript after application?,Processing of transcript takes minimum 5 working days from date of application with all required documents.,Transcript,सभी आवश्यक दस्तावेजों के साथ प्रतिलेख के प्रसंस्करण में आवेदन की तारीख से न्यूनतम 5 कार्य दिवस लगते हैं।,सर्व आवश्यक कागदपत्रांसह उतार्‍यावर प्रक्रिया करण्यासाठी अर्ज केल्याच्या तारखेपासून किमान 5 कार्य दिवस लागतात.
73,72,Will I get a soft copy/hard copy of the transcript?," Soft copy of the transcript will be sent, only if required. You should collect the hard copy of the transcript from Department of Examination within 15 days, after it is ready. Bring your identity proof and payment receipt. If you have paid postal charges, then it will be sent by speed post at the address mentioned in application form. Transcripts are sent in a sealed envelope. (One Transcript per envelope)",Transcript,"आवश्यकता पड़ने पर ही प्रतिलेख की सॉफ्ट कॉपी भेजी जाएगी। आपको प्रतिलेख की हार्ड कॉपी तैयार होने के 15 दिनों के भीतर परीक्षा विभाग से प्राप्त करनी चाहिए। अपना पहचान प्रमाण और भुगतान रसीद लेकर आएं। यदि आपने डाक शुल्क का भुगतान किया है, तो इसे आवेदन पत्र में उल्लिखित पते पर स्पीड पोस्ट द्वारा भेजा जाएगा। टेप एक सीलबंद लिफाफे में भेजे जाते हैं। (प्रति लिफाफा एक प्रतिलेख)","प्रतिलिपीची सॉफ्ट कॉपी पाठवली जाईल, आवश्यक असल्यासच. तुम्ही उतार्‍याची हार्ड कॉपी तयार झाल्यानंतर १५ दिवसांच्या आत परीक्षा विभागाकडून गोळा करावी. तुमचा ओळख पुरावा आणि पेमेंट पावती आणा. जर तुम्ही पोस्टल शुल्क भरले असेल, तर ते स्पीड पोस्टने अर्जात नमूद केलेल्या पत्त्यावर पाठवले जाईल. प्रतिलिपी सीलबंद लिफाफ्यात पाठविली जातात. (प्रति लिफाफा एक उतारा)"
74,73,Why are transcripts sent in sealed and signed envelope?,This is done in order to assure the recipient of the document that the transcript is genuine.,Transcript,यह दस्तावेज़ के प्राप्तकर्ता को आश्वस्त करने के लिए किया जाता है कि प्रतिलेख वास्तविक है।,दस्तऐवजाच्या प्राप्तकर्त्याला उतारा अस्सल असल्याची खात्री देण्यासाठी हे केले जाते.
75,74,"I want the University to send the transcript to WES, Canada ? What is the procedure for it?",Postal charges to Canada Rs.1600/-. Do payment online .Payment details mentioned on website.(https://mitwpu.edu.in/examination/contact). Send duly filled WES form and WES reference number and send screenshot of payment to exam.helpdesk@mitwpu.edu.in.MITSOB Transcripts to WESQs. I am a student of MITSOB. I want a transcript. What is the procedure?,MITSOB Transripts to WES,कनाडा के लिए डाक शुल्क 1600/- रु. भुगतान ऑनलाइन करें। वेबसाइट पर उल्लिखित भुगतान विवरण। (https://mitwpu.edu.in/examination/contact)। विधिवत भरा हुआ WES फॉर्म और WES संदर्भ संख्या भेजें और भुगतान का स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in.MITSOB पर WESQs को भेजें। मैं MITSOB का छात्र हूँ। मुझे एक प्रतिलेख चाहिए। प्रक्रिया क्या है?,कॅनडाला पोस्टल शुल्क रु. १६००/-. ऑनलाइन पेमेंट करा .पेमेंट तपशील वेबसाइटवर नमूद केले आहेत.(https://mitwpu.edu.in/examination/contact). योग्यरित्या भरलेला WES फॉर्म आणि WES संदर्भ क्रमांक पाठवा आणि exam.helpdesk@mitwpu.edu.in.MITSOB प्रतिलेख WESQs वर पेमेंटचा स्क्रीनशॉट पाठवा. मी MITSOB चा विद्यार्थी आहे. मला एक उतारा हवा आहे. प्रक्रिया काय आहे?
76,75,What are the charges for transcript?,Processing  charges  for  MITSOB  transcript  differ  batchwise.  Send  mail  to exam.helpdesk@mitwpu.edu.in and mention your Batch and PR No. We will convey the charges accordingly,MITSOB Transripts to WES,MITSOB प्रतिलेख के लिए प्रसंस्करण शुल्क बैच के अनुसार भिन्न होता है। exam.helpdesk@mitwpu.edu.in पर मेल भेजें और अपने बैच और पीआर नंबर का उल्लेख करें। हम तदनुसार शुल्क बताएंगे,MITSOB ट्रान्सक्रिप्टसाठी प्रक्रिया शुल्क बॅचनुसार भिन्न आहे. exam.helpdesk@mitwpu.edu.in वर मेल पाठवा आणि तुमची बॅच आणि पीआर क्रमांक नमूद करा. आम्ही त्यानुसार शुल्क कळवू
77,76,How should I do the payment for MITSOB transcript?,You must pay online for the transcript. Payment details are mentioned on website (https://mitwpu.edu.in/examination).   Send   the   screenshot   of   payment   to exam.helpdesk@mitwpu.edu.in.,MITSOB Transripts to WES,आपको प्रतिलेख के लिए ऑनलाइन भुगतान करना होगा। भुगतान विवरण वेबसाइट (https://mitwpu.edu.in/examination) पर उल्लिखित हैं। भुगतान का स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in पर भेजें।,तुम्हाला ट्रान्सक्रिप्टसाठी ऑनलाइन पैसे भरावे लागतील. पेमेंट तपशील वेबसाइटवर नमूद केले आहेत (https://mitwpu.edu.in/examination). पेमेंटचा स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in वर पाठवा.
78,77,"I want the University to send the transcript to WES, Canada ? What is theprocedure?",The postal charges to Canada Rs.1600/-. Do payment online .Payment details are mentioned on the website. Send duly filled WES form and reference number and send the screenshot of payment to exam.helpdesk@mitwpu.edu.in.,MITSOB Transripts to WES,कनाडा के लिए डाक शुल्क 1600/- रु. ऑनलाइन भुगतान करें। वेबसाइट पर भुगतान विवरण का उल्लेख किया गया है। विधिवत भरा हुआ WES फॉर्म और संदर्भ संख्या भेजें और भुगतान का स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in पर भेजें।,कॅनडाला टपाल शुल्क रु. १६००/-. ऑनलाइन पेमेंट करा .पेमेंट तपशील वेबसाइटवर नमूद केले आहेत. योग्यरित्या भरलेला WES फॉर्म आणि संदर्भ क्रमांक पाठवा आणि पेमेंटचा स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in वर पाठवा.
79,78,How much time will it take to process the transcript?,Transcript processing takes 8 days after receipt of application with all required documents,MITSOB Transripts to WES,सभी आवश्यक दस्तावेजों के साथ आवेदन प्राप्त होने के बाद ट्रांसक्रिप्ट प्रोसेसिंग में 8 दिन लगते हैं,सर्व आवश्यक कागदपत्रांसह अर्ज मिळाल्यानंतर ट्रान्सक्रिप्ट प्रक्रियेस 8 दिवस लागतात
80,79,How do I collect the MITSOB transcript?,Transcript can be collected from Department of Examination or it can be sent at your postal address.,MITSOB Transripts to WES,प्रतिलेख परीक्षा विभाग से प्राप्त किया जा सकता है या इसे आपके डाक पते पर भेजा जा सकता है।,परीक्षा विभागाकडून उतारा गोळा केला जाऊ शकतो किंवा तो तुमच्या पोस्टल पत्त्यावर पाठवला जाऊ शकतो.
81,80,What are the postal charges for MITSOB transcript? How do I do the payment ?,Postal charges (within India only ) for MITSOB transcript are Rs.500/- .You must do online payment. The payment details are mentioned on the website. Send screenshot of payment to exam.helpdesk@mitwpu.edu.inREFUND QUERIES,MITSOB Transripts to WES,MITSOB प्रतिलेख के लिए डाक शुल्क (केवल भारत के भीतर) रु.500/- है। आपको ऑनलाइन भुगतान करना होगा। भुगतान विवरण वेबसाइट पर उल्लिखित हैं। भुगतान का स्क्रीनशॉट exam.helpdesk@mitwpu.edu.inREFUND QUERIES पर भेजें,MITSOB उतार्‍यासाठी पोस्टल शुल्क (फक्त भारतामध्ये) रु. 500/- आहेत .तुम्ही ऑनलाइन पेमेंट करणे आवश्यक आहे. पेमेंट तपशील वेबसाइटवर नमूद केले आहेत. पेमेंटचा स्क्रीनशॉट exam.helpdesk@mitwpu.edu.inREFUND QUERIES वर पाठवा
